,name,product_link,price,image_link,image_name
72," ViewSonic VX2781-MH 27"" 75Hz Full HD IPS Monitor",https://www.startech.com.bd/viewsonic-vx2781-mh-27-monitor,"
28,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/vx2781-mh/vx2781-mh-228x228.jpg,"ViewSonic VX2781-MH 27"" 75Hz Full HD IPS Monitor"
73," Viewsonic XG2405 24"" 144Hz AMD FreeSync IPS Gaming Monitor",https://www.startech.com.bd/viewsonic-xg2405-freesync-ips-gaming-monitor,"
28,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/xg2405/xg2405-1-228x228.jpg,"Viewsonic XG2405 24"" 144Hz AMD FreeSync IPS Gaming Monitor"
74," ASUS VG258QR 24.5"" FHD 165Hz Gaming Monitor",https://www.startech.com.bd/asus-vg258qr-fhd-165hz-gaming-monitor,"
28,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vg-258qr/asus-vg258qr-fhd-165hz-gaming-monitor-01-228x228.jpg,"ASUS VG258QR 24.5"" FHD 165Hz Gaming Monitor"
75, MSI MAG ARTYMIS 242C 24-Inch 165Hz FHD Curved Gaming Monitor,https://www.startech.com.bd/msi-mag-artymis-242c-24-inch-curved-gaming-monitor,"
28,650৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/msi/mag-artymis-242c/mag-artymis-242c-01-228x228.jpg,MSI MAG ARTYMIS 242C 24-Inch 165Hz FHD Curved Gaming Monitor
76," MSI Optix G24C6P 23.8"" 144hz Curved Freesync Gaming Monitor",https://www.startech.com.bd/msi-optix-g24c6p-curved-freesync-gaming-monitor,"
28,900৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/msi/g24c6p/g24c6p-01-228x228.jpg,"MSI Optix G24C6P 23.8"" 144hz Curved Freesync Gaming Monitor"
77," HP E24i G4 24"" WUXGA Monitor",https://www.startech.com.bd/hp-e24i-g4-wuxga-monitor,"
29,250৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/e24i-g4/e24i-g4-228x228.jpg,"HP E24i G4 24"" WUXGA Monitor"
78," BenQ GW2485TC 23.8"" FHD Eye-Care Stylish IPS Monitor",https://www.startech.com.bd/benq-gw2485tc-fhd-monitor,"
29,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2485tc/gw2485tc-01-228x228.jpg,"BenQ GW2485TC 23.8"" FHD Eye-Care Stylish IPS Monitor"
79," HP X27 27"" IPS 165Hz FHD FreeSync Gaming Monitor",https://www.startech.com.bd/hp-x27-27-inch-gaming-monitor,"
29,850৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/x27/hp-x27-27-inch-gaming-monitor-01-228x228.jpg,"HP X27 27"" IPS 165Hz FHD FreeSync Gaming Monitor"
80," ViewSonic VA2932-MHD 29"" WFHD IPS Monitor",https://www.startech.com.bd/viewsonic-va2932-mhd-29-inch-monitor,"
30,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2932-mhd/va2932-mhd-01-228x228.jpg,"ViewSonic VA2932-MHD 29"" WFHD IPS Monitor"
81," ASUS VA329HE 31.5"" 75Hz FHD FreeSync IPS Eye Care Monitor",https://www.startech.com.bd/asus-va329he-fhd-eye-care-monitor,"
30,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/va329he/va329he-01-228x228.jpg,"ASUS VA329HE 31.5"" 75Hz FHD FreeSync IPS Eye Care Monitor"
82," HP E27 G4 27"" FHD IPS Monitor",https://www.startech.com.bd/hp-e27-g4-fhd-monitor,"
30,750৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/e27-g4/e27-g4-001-228x228.jpg,"HP E27 G4 27"" FHD IPS Monitor"
